step,epoch_index,offset_in_epoch,samples_in_step,mean_margin,epoch_boundary_step,SemVariants_count,SemVariants_ratio,VisVariants_count,VisVariants_ratio,DermQA_count,DermQA_ratio,SI1_count,SI1_ratio,SI2_count,SI2_ratio,loss,grad_norm,learning_rate,log_epoch
209,1,209,256,0.14618157394579612,False,24,0.09375,44,0.171875,18,0.0703125,86,0.3359375,84,0.328125,,,,
210,1,210,256,0.13426212762715295,False,26,0.1015625,46,0.1796875,20,0.078125,85,0.33203125,79,0.30859375,,,,
211,1,211,256,0.13270355644635856,False,31,0.12109375,52,0.203125,10,0.0390625,76,0.296875,87,0.33984375,,,,
212,1,212,256,0.1456374384724768,False,37,0.14453125,50,0.1953125,22,0.0859375,86,0.3359375,61,0.23828125,,,,
213,1,213,256,0.13861236162483692,False,30,0.1171875,53,0.20703125,15,0.05859375,81,0.31640625,77,0.30078125,,,,
214,1,214,256,0.13938021137437318,False,28,0.109375,47,0.18359375,16,0.0625,75,0.29296875,90,0.3515625,,,,
215,1,215,256,0.12574738889816217,False,32,0.125,54,0.2109375,16,0.0625,75,0.29296875,79,0.30859375,,,,
216,1,216,256,0.129513766252785,False,33,0.12890625,54,0.2109375,15,0.05859375,75,0.29296875,79,0.30859375,,,,
217,1,217,256,0.14627491377177648,False,36,0.140625,37,0.14453125,17,0.06640625,77,0.30078125,89,0.34765625,,,,
218,1,218,256,0.12480090355529683,False,39,0.15234375,64,0.25,18,0.0703125,65,0.25390625,70,0.2734375,,,,
219,1,219,256,0.12523621224681847,False,29,0.11328125,51,0.19921875,26,0.1015625,70,0.2734375,80,0.3125,,,,
220,1,220,256,0.13862537068780512,False,35,0.13671875,48,0.1875,13,0.05078125,84,0.328125,76,0.296875,,,,
221,1,221,256,0.13698755338555202,False,32,0.125,48,0.1875,12,0.046875,85,0.33203125,79,0.30859375,,,,
222,1,222,256,0.1242816803714959,False,33,0.12890625,51,0.19921875,13,0.05078125,76,0.296875,83,0.32421875,,,,
223,1,223,256,0.13784752501669573,False,31,0.12109375,45,0.17578125,21,0.08203125,81,0.31640625,78,0.3046875,,,,
224,1,224,256,0.1503253589180531,False,37,0.14453125,38,0.1484375,20,0.078125,78,0.3046875,83,0.32421875,,,,
225,1,225,256,0.13865194241225254,False,27,0.10546875,55,0.21484375,22,0.0859375,81,0.31640625,71,0.27734375,,,,
226,1,226,256,0.14026001180172898,False,31,0.12109375,43,0.16796875,19,0.07421875,79,0.30859375,84,0.328125,,,,
227,1,227,256,0.14463108003837988,False,25,0.09765625,45,0.17578125,17,0.06640625,102,0.3984375,67,0.26171875,,,,
228,1,228,256,0.12787352249142714,False,31,0.12109375,45,0.17578125,20,0.078125,81,0.31640625,79,0.30859375,,,,
229,1,229,256,0.12196786313143093,False,32,0.125,56,0.21875,18,0.0703125,73,0.28515625,77,0.30078125,,,,
230,1,230,256,0.1436339636275079,False,23,0.08984375,48,0.1875,20,0.078125,84,0.328125,81,0.31640625,,,,
231,1,231,256,0.13167662761406973,False,35,0.13671875,41,0.16015625,19,0.07421875,83,0.32421875,78,0.3046875,,,,
232,1,232,256,0.1262536774156615,False,30,0.1171875,57,0.22265625,16,0.0625,68,0.265625,85,0.33203125,,,,
233,1,233,256,0.14301720679213759,False,29,0.11328125,37,0.14453125,18,0.0703125,87,0.33984375,85,0.33203125,,,,
234,1,234,256,0.1313838232017588,False,36,0.140625,63,0.24609375,22,0.0859375,62,0.2421875,73,0.28515625,,,,
235,1,235,256,0.13769630243768916,False,35,0.13671875,46,0.1796875,18,0.0703125,92,0.359375,65,0.25390625,,,,
236,1,236,256,0.12554929364705458,False,37,0.14453125,45,0.17578125,18,0.0703125,77,0.30078125,79,0.30859375,,,,
237,1,237,256,0.13146101028542034,False,32,0.125,56,0.21875,23,0.08984375,72,0.28125,73,0.28515625,,,,
238,1,238,256,0.13387021864764392,False,29,0.11328125,41,0.16015625,18,0.0703125,80,0.3125,88,0.34375,,,,
239,1,239,256,0.12184195822919719,False,33,0.12890625,53,0.20703125,17,0.06640625,62,0.2421875,91,0.35546875,,,,
240,1,240,256,0.12266753864241764,False,28,0.109375,55,0.21484375,22,0.0859375,70,0.2734375,81,0.31640625,,,,
241,1,241,256,0.1542425841325894,False,37,0.14453125,47,0.18359375,16,0.0625,79,0.30859375,77,0.30078125,,,,
242,1,242,256,0.1294695938413497,False,32,0.125,45,0.17578125,18,0.0703125,74,0.2890625,87,0.33984375,,,,
243,1,243,256,0.12986904436547775,False,30,0.1171875,53,0.20703125,23,0.08984375,75,0.29296875,75,0.29296875,,,,
244,1,244,256,0.1333478593151085,False,34,0.1328125,44,0.171875,20,0.078125,87,0.33984375,71,0.27734375,,,,
245,1,245,256,0.128305541962618,False,27,0.10546875,45,0.17578125,27,0.10546875,82,0.3203125,75,0.29296875,,,,
246,1,246,256,0.13094875070964918,False,27,0.10546875,44,0.171875,18,0.0703125,77,0.30078125,90,0.3515625,,,,
247,1,247,256,0.1207512512919493,False,27,0.10546875,52,0.203125,22,0.0859375,69,0.26953125,86,0.3359375,,,,
248,1,248,256,0.1332533504719322,False,25,0.09765625,53,0.20703125,29,0.11328125,77,0.30078125,72,0.28125,,,,
249,1,249,256,0.12878998532687547,False,33,0.12890625,54,0.2109375,19,0.07421875,67,0.26171875,83,0.32421875,,,,
250,1,250,256,0.1318892112467438,False,32,0.125,50,0.1953125,17,0.06640625,78,0.3046875,79,0.30859375,,,,
251,1,251,256,0.14501175968325697,False,39,0.15234375,48,0.1875,25,0.09765625,74,0.2890625,70,0.2734375,,,,
252,1,252,256,0.1256721878889948,False,21,0.08203125,64,0.25,22,0.0859375,81,0.31640625,68,0.265625,,,,
253,1,253,256,0.12832870744750835,False,27,0.10546875,48,0.1875,21,0.08203125,71,0.27734375,89,0.34765625,,,,
254,1,254,256,0.13086320806178264,False,27,0.10546875,51,0.19921875,27,0.10546875,78,0.3046875,73,0.28515625,,,,
255,1,255,256,0.1286838056257693,False,27,0.10546875,55,0.21484375,22,0.0859375,65,0.25390625,87,0.33984375,,,,
256,1,256,256,0.13361739456377109,False,29,0.11328125,50,0.1953125,20,0.078125,66,0.2578125,91,0.35546875,,,,
257,1,257,256,0.13545767548203003,False,28,0.109375,55,0.21484375,21,0.08203125,73,0.28515625,79,0.30859375,,,,
258,1,258,256,0.14038607306429185,False,34,0.1328125,47,0.18359375,19,0.07421875,82,0.3203125,74,0.2890625,,,,
259,1,259,256,0.1168691715283785,False,26,0.1015625,53,0.20703125,22,0.0859375,72,0.28125,83,0.32421875,,,,
260,1,260,256,0.12478375129285268,False,29,0.11328125,62,0.2421875,20,0.078125,71,0.27734375,74,0.2890625,,,,
261,1,261,256,0.13494131932384335,False,29,0.11328125,49,0.19140625,10,0.0390625,76,0.296875,92,0.359375,,,,
262,1,262,256,0.1292053353099618,False,29,0.11328125,54,0.2109375,16,0.0625,70,0.2734375,87,0.33984375,,,,
263,1,263,256,0.13294202435645275,False,30,0.1171875,49,0.19140625,21,0.08203125,75,0.29296875,81,0.31640625,,,,
264,1,264,256,0.13337152416352183,False,21,0.08203125,48,0.1875,15,0.05859375,80,0.3125,92,0.359375,,,,
265,1,265,256,0.13437568742665462,False,28,0.109375,53,0.20703125,15,0.05859375,84,0.328125,76,0.296875,,,,
266,1,266,256,0.12540177517803386,False,31,0.12109375,49,0.19140625,22,0.0859375,71,0.27734375,83,0.32421875,,,,
267,1,267,256,0.14093642245279625,False,34,0.1328125,56,0.21875,17,0.06640625,78,0.3046875,71,0.27734375,,,,
268,1,268,256,0.12967110468889587,False,32,0.125,44,0.171875,19,0.07421875,87,0.33984375,74,0.2890625,,,,
269,1,269,256,0.14151167980162427,False,28,0.109375,57,0.22265625,17,0.06640625,82,0.3203125,72,0.28125,,,,
270,1,270,256,0.14252334102638997,False,39,0.15234375,49,0.19140625,21,0.08203125,74,0.2890625,73,0.28515625,,,,
271,1,271,256,0.12675521365599707,False,28,0.109375,54,0.2109375,19,0.07421875,84,0.328125,71,0.27734375,,,,
272,1,272,256,0.1366481435179594,False,29,0.11328125,54,0.2109375,18,0.0703125,77,0.30078125,78,0.3046875,,,,
273,1,273,256,0.1346862126083579,False,30,0.1171875,49,0.19140625,13,0.05078125,85,0.33203125,79,0.30859375,,,,
274,1,274,256,0.13766762825252954,False,29,0.11328125,55,0.21484375,16,0.0625,72,0.28125,84,0.328125,,,,
275,1,275,256,0.1458597958262544,False,22,0.0859375,43,0.16796875,14,0.0546875,85,0.33203125,92,0.359375,,,,
276,1,276,256,0.12877312264754437,False,38,0.1484375,55,0.21484375,17,0.06640625,72,0.28125,74,0.2890625,,,,
277,1,277,256,0.1408240634482354,False,28,0.109375,50,0.1953125,26,0.1015625,69,0.26953125,83,0.32421875,,,,
278,1,278,256,0.11933200075873174,False,34,0.1328125,48,0.1875,15,0.05859375,81,0.31640625,78,0.3046875,,,,
279,1,279,256,0.12392727754195221,False,28,0.109375,56,0.21875,19,0.07421875,58,0.2265625,95,0.37109375,,,,
280,1,280,256,0.129965096784872,False,36,0.140625,47,0.18359375,23,0.08984375,70,0.2734375,80,0.3125,,,,
281,1,281,256,0.13457489348365925,False,30,0.1171875,50,0.1953125,23,0.08984375,70,0.2734375,83,0.32421875,,,,
282,1,282,256,0.14193249813979492,False,37,0.14453125,48,0.1875,20,0.078125,77,0.30078125,74,0.2890625,,,,
283,1,283,256,0.13515554134937702,False,39,0.15234375,43,0.16796875,16,0.0625,86,0.3359375,72,0.28125,,,,
284,1,284,256,0.11857500355108641,False,28,0.109375,56,0.21875,18,0.0703125,74,0.2890625,80,0.3125,,,,
285,1,285,256,0.13377832691185176,False,26,0.1015625,47,0.18359375,19,0.07421875,73,0.28515625,91,0.35546875,,,,
286,1,286,256,0.1350651422108058,False,27,0.10546875,56,0.21875,12,0.046875,89,0.34765625,72,0.28125,,,,
287,1,287,256,0.129110792739084,False,25,0.09765625,44,0.171875,23,0.08984375,80,0.3125,84,0.328125,,,,
288,1,288,256,0.14121573578449897,False,26,0.1015625,44,0.171875,17,0.06640625,86,0.3359375,83,0.32421875,,,,
289,1,289,256,0.12007515199366026,False,24,0.09375,53,0.20703125,16,0.0625,74,0.2890625,89,0.34765625,,,,
290,1,290,256,0.1393984821625054,False,31,0.12109375,49,0.19140625,13,0.05078125,68,0.265625,95,0.37109375,,,,
291,1,291,256,0.13913750551000703,False,28,0.109375,50,0.1953125,16,0.0625,77,0.30078125,85,0.33203125,,,,
292,1,292,256,0.13153657130897045,False,24,0.09375,43,0.16796875,27,0.10546875,82,0.3203125,80,0.3125,,,,
293,1,293,256,0.13199206272838637,False,27,0.10546875,57,0.22265625,18,0.0703125,63,0.24609375,91,0.35546875,,,,
294,1,294,256,0.15066013342584483,False,20,0.078125,52,0.203125,21,0.08203125,85,0.33203125,78,0.3046875,,,,
295,1,295,256,0.14107161411084235,False,33,0.12890625,46,0.1796875,18,0.0703125,80,0.3125,79,0.30859375,,,,
296,1,296,256,0.13119318126700819,False,30,0.1171875,55,0.21484375,16,0.0625,77,0.30078125,78,0.3046875,,,,
297,1,297,256,0.11975516544771381,False,33,0.12890625,46,0.1796875,26,0.1015625,67,0.26171875,84,0.328125,,,,
298,1,298,256,0.11974087081034668,False,35,0.13671875,49,0.19140625,16,0.0625,68,0.265625,88,0.34375,,,,
299,1,299,256,0.1347343117231503,False,37,0.14453125,47,0.18359375,15,0.05859375,71,0.27734375,86,0.3359375,,,,
300,1,300,256,0.13451404552324675,False,27,0.10546875,40,0.15625,27,0.10546875,84,0.328125,78,0.3046875,,,,
301,1,301,256,0.11630961827358988,False,20,0.078125,59,0.23046875,19,0.07421875,82,0.3203125,76,0.296875,,,,
302,1,302,256,0.12501785307540558,False,20,0.078125,63,0.24609375,18,0.0703125,64,0.25,91,0.35546875,,,,
303,1,303,256,0.1320639490713802,False,30,0.1171875,54,0.2109375,19,0.07421875,67,0.26171875,86,0.3359375,,,,
304,1,304,256,0.13327544670028146,False,33,0.12890625,58,0.2265625,18,0.0703125,67,0.26171875,80,0.3125,,,,
305,1,305,256,0.13770208429195918,False,21,0.08203125,45,0.17578125,19,0.07421875,86,0.3359375,85,0.33203125,,,,
306,1,306,256,0.13488578332180623,False,34,0.1328125,43,0.16796875,14,0.0546875,84,0.328125,81,0.31640625,,,,
307,1,307,256,0.13254686741856858,False,26,0.1015625,50,0.1953125,14,0.0546875,82,0.3203125,84,0.328125,,,,
308,1,308,256,0.1331565289874561,False,25,0.09765625,47,0.18359375,17,0.06640625,72,0.28125,95,0.37109375,,,,
309,1,309,256,0.13062660011928529,False,35,0.13671875,44,0.171875,14,0.0546875,79,0.30859375,84,0.328125,,,,
310,1,310,256,0.1288324411434587,False,38,0.1484375,44,0.171875,19,0.07421875,67,0.26171875,88,0.34375,,,,
311,1,311,256,0.1521612076612655,False,36,0.140625,50,0.1953125,18,0.0703125,80,0.3125,72,0.28125,,,,
312,1,312,256,0.13889707588532474,False,31,0.12109375,50,0.1953125,16,0.0625,75,0.29296875,84,0.328125,,,,
313,1,313,256,0.1294932797900401,False,37,0.14453125,44,0.171875,26,0.1015625,62,0.2421875,87,0.33984375,,,,
314,1,314,256,0.12501349896774627,False,36,0.140625,48,0.1875,20,0.078125,74,0.2890625,78,0.3046875,,,,
315,1,315,256,0.1379685110441642,False,22,0.0859375,58,0.2265625,16,0.0625,77,0.30078125,83,0.32421875,,,,
316,1,316,256,0.1247868561767973,False,32,0.125,47,0.18359375,15,0.05859375,68,0.265625,94,0.3671875,,,,
317,1,317,256,0.14616331105935387,False,27,0.10546875,53,0.20703125,17,0.06640625,86,0.3359375,73,0.28515625,,,,
318,1,318,256,0.13207670880365185,False,28,0.109375,45,0.17578125,14,0.0546875,90,0.3515625,79,0.30859375,,,,
319,1,319,256,0.14536501868860796,False,30,0.1171875,55,0.21484375,14,0.0546875,82,0.3203125,75,0.29296875,,,,
320,1,320,256,0.1508184620179236,False,32,0.125,41,0.16015625,21,0.08203125,85,0.33203125,77,0.30078125,,,,
321,1,321,256,0.13649534696014598,False,22,0.0859375,65,0.25390625,15,0.05859375,82,0.3203125,72,0.28125,,,,
322,1,322,256,0.13340974337188527,False,28,0.109375,49,0.19140625,18,0.0703125,72,0.28125,89,0.34765625,,,,
323,1,323,256,0.13645430584438145,False,33,0.12890625,48,0.1875,12,0.046875,79,0.30859375,84,0.328125,,,,
324,1,324,256,0.12291417713277042,False,37,0.14453125,44,0.171875,18,0.0703125,72,0.28125,85,0.33203125,,,,
325,1,325,256,0.13252827525138855,False,30,0.1171875,53,0.20703125,23,0.08984375,79,0.30859375,71,0.27734375,,,,
326,1,326,256,0.14556343670119531,False,38,0.1484375,41,0.16015625,14,0.0546875,94,0.3671875,69,0.26953125,,,,
327,1,327,256,0.12432056437319261,False,28,0.109375,59,0.23046875,20,0.078125,65,0.25390625,84,0.328125,,,,
328,1,328,256,0.13087377938791178,False,27,0.10546875,47,0.18359375,15,0.05859375,93,0.36328125,74,0.2890625,,,,
329,1,329,256,0.14402763498947024,False,22,0.0859375,35,0.13671875,25,0.09765625,93,0.36328125,81,0.31640625,,,,
330,1,330,256,0.13143750411109067,False,37,0.14453125,46,0.1796875,13,0.05078125,72,0.28125,88,0.34375,,,,
331,1,331,256,0.12781563610769808,False,25,0.09765625,51,0.19921875,17,0.06640625,74,0.2890625,89,0.34765625,,,,
332,1,332,256,0.13214055888238363,False,33,0.12890625,43,0.16796875,14,0.0546875,78,0.3046875,88,0.34375,,,,
333,1,333,256,0.1322196192923002,False,38,0.1484375,53,0.20703125,19,0.07421875,72,0.28125,74,0.2890625,,,,
334,1,334,256,0.14450169337214902,False,31,0.12109375,48,0.1875,17,0.06640625,76,0.296875,84,0.328125,,,,
335,1,335,256,0.1366001084970776,False,23,0.08984375,49,0.19140625,18,0.0703125,79,0.30859375,87,0.33984375,,,,
336,1,336,256,0.14548342754278565,False,32,0.125,57,0.22265625,13,0.05078125,73,0.28515625,81,0.31640625,,,,
337,1,337,256,0.14495374234684277,False,29,0.11328125,53,0.20703125,19,0.07421875,80,0.3125,75,0.29296875,,,,
338,1,338,256,0.13768032880034298,False,23,0.08984375,47,0.18359375,19,0.07421875,88,0.34375,79,0.30859375,,,,
339,1,339,256,0.14065056323306635,False,26,0.1015625,63,0.24609375,17,0.06640625,76,0.296875,74,0.2890625,,,,
340,1,340,256,0.15210617223056033,False,28,0.109375,48,0.1875,20,0.078125,78,0.3046875,82,0.3203125,,,,
341,1,341,256,0.13849346138886176,False,32,0.125,46,0.1796875,20,0.078125,77,0.30078125,81,0.31640625,,,,
342,1,342,256,0.12841728213243186,False,24,0.09375,56,0.21875,19,0.07421875,72,0.28125,85,0.33203125,,,,
343,1,343,256,0.11452300316886976,False,33,0.12890625,52,0.203125,27,0.10546875,59,0.23046875,85,0.33203125,,,,
344,1,344,256,0.14249014697270468,False,41,0.16015625,49,0.19140625,17,0.06640625,73,0.28515625,76,0.296875,,,,
345,1,345,256,0.1275324308699055,False,23,0.08984375,44,0.171875,21,0.08203125,77,0.30078125,91,0.35546875,,,,
346,1,346,256,0.1255281047488097,False,30,0.1171875,57,0.22265625,19,0.07421875,75,0.29296875,75,0.29296875,,,,
347,1,347,256,0.13862995189265348,False,32,0.125,48,0.1875,11,0.04296875,84,0.328125,81,0.31640625,,,,
348,1,348,256,0.1372385685390327,False,30,0.1171875,57,0.22265625,21,0.08203125,77,0.30078125,71,0.27734375,,,,
349,1,349,256,0.1292568215285428,False,28,0.109375,42,0.1640625,17,0.06640625,88,0.34375,81,0.31640625,,,,
350,1,350,256,0.12425038369838148,False,28,0.109375,50,0.1953125,19,0.07421875,76,0.296875,83,0.32421875,,,,
351,1,351,256,0.1213590688421391,False,27,0.10546875,55,0.21484375,21,0.08203125,71,0.27734375,82,0.3203125,,,,
352,1,352,256,0.10414205404231325,False,28,0.109375,70,0.2734375,21,0.08203125,65,0.25390625,72,0.28125,,,,
353,1,353,256,0.14542246345081367,False,38,0.1484375,38,0.1484375,19,0.07421875,86,0.3359375,75,0.29296875,,,,
354,1,354,256,0.1399420275411103,False,35,0.13671875,52,0.203125,10,0.0390625,80,0.3125,79,0.30859375,,,,
355,1,355,256,0.15316239022649825,False,29,0.11328125,52,0.203125,16,0.0625,78,0.3046875,81,0.31640625,,,,
356,1,356,256,0.12452984453557292,False,31,0.12109375,46,0.1796875,18,0.0703125,72,0.28125,89,0.34765625,,,,
357,1,357,256,0.13776850900103454,False,28,0.109375,55,0.21484375,22,0.0859375,78,0.3046875,73,0.28515625,,,,
358,1,358,256,0.14230900583788753,False,33,0.12890625,54,0.2109375,16,0.0625,80,0.3125,73,0.28515625,,,,
359,1,359,256,0.1429347720113583,False,37,0.14453125,45,0.17578125,23,0.08984375,69,0.26953125,82,0.3203125,,,,
360,1,360,256,0.13919404835178284,False,28,0.109375,51,0.19921875,17,0.06640625,87,0.33984375,73,0.28515625,,,,
361,1,361,256,0.13659147333237343,False,26,0.1015625,53,0.20703125,17,0.06640625,89,0.34765625,71,0.27734375,,,,
362,1,362,256,0.1344915685185697,False,30,0.1171875,53,0.20703125,17,0.06640625,78,0.3046875,78,0.3046875,,,,
363,1,363,256,0.13490021950565279,False,29,0.11328125,49,0.19140625,25,0.09765625,76,0.296875,77,0.30078125,,,,
364,1,364,256,0.1420003829698544,False,38,0.1484375,51,0.19921875,18,0.0703125,67,0.26171875,82,0.3203125,,,,
365,1,365,256,0.13746793009340763,False,26,0.1015625,44,0.171875,19,0.07421875,88,0.34375,79,0.30859375,,,,
366,1,366,256,0.14435543566651177,False,29,0.11328125,49,0.19140625,22,0.0859375,85,0.33203125,71,0.27734375,,,,
367,1,367,256,0.12873257858518627,False,25,0.09765625,58,0.2265625,17,0.06640625,85,0.33203125,71,0.27734375,,,,
368,1,368,256,0.1330138294470089,False,35,0.13671875,54,0.2109375,15,0.05859375,77,0.30078125,75,0.29296875,,,,
369,1,369,256,0.13576646789442748,False,31,0.12109375,51,0.19921875,10,0.0390625,91,0.35546875,73,0.28515625,,,,
370,1,370,256,0.1373186498240102,False,26,0.1015625,52,0.203125,20,0.078125,75,0.29296875,83,0.32421875,,,,
371,1,371,256,0.13712613220559433,False,22,0.0859375,52,0.203125,20,0.078125,80,0.3125,82,0.3203125,,,,
372,1,372,256,0.12414360712864436,False,39,0.15234375,44,0.171875,25,0.09765625,63,0.24609375,85,0.33203125,,,,
373,1,373,256,0.14573183748871088,False,29,0.11328125,43,0.16796875,16,0.0625,82,0.3203125,86,0.3359375,,,,
374,1,374,256,0.13838816026691347,False,24,0.09375,56,0.21875,16,0.0625,77,0.30078125,83,0.32421875,,,,
375,1,375,256,0.1355759716097964,False,30,0.1171875,47,0.18359375,21,0.08203125,81,0.31640625,77,0.30078125,,,,
376,1,376,256,0.13248924422077835,False,27,0.10546875,35,0.13671875,22,0.0859375,76,0.296875,96,0.375,,,,
377,1,377,256,0.1314511298260186,False,28,0.109375,57,0.22265625,22,0.0859375,72,0.28125,77,0.30078125,,,,
378,1,378,256,0.12924477090928121,False,29,0.11328125,53,0.20703125,18,0.0703125,70,0.2734375,86,0.3359375,,,,
379,1,379,256,0.11626485630404204,False,24,0.09375,60,0.234375,23,0.08984375,73,0.28515625,76,0.296875,,,,
380,1,380,256,0.12704893562477082,False,31,0.12109375,49,0.19140625,23,0.08984375,79,0.30859375,74,0.2890625,,,,
381,1,381,256,0.11709122118190862,False,28,0.109375,54,0.2109375,12,0.046875,83,0.32421875,79,0.30859375,,,,
382,1,382,256,0.13490718888351694,False,27,0.10546875,53,0.20703125,17,0.06640625,88,0.34375,71,0.27734375,,,,
383,1,383,256,0.1314581262995489,False,37,0.14453125,48,0.1875,23,0.08984375,68,0.265625,80,0.3125,,,,
384,1,384,256,0.11668927379650995,False,22,0.0859375,60,0.234375,20,0.078125,80,0.3125,74,0.2890625,,,,
385,1,385,256,0.11794094981451053,False,36,0.140625,47,0.18359375,19,0.07421875,82,0.3203125,72,0.28125,,,,
386,1,386,256,0.1267982156132348,False,37,0.14453125,31,0.12109375,24,0.09375,79,0.30859375,85,0.33203125,,,,
387,1,387,256,0.1360987702209968,False,30,0.1171875,53,0.20703125,23,0.08984375,75,0.29296875,75,0.29296875,,,,
388,1,388,256,0.14628585979517084,False,30,0.1171875,38,0.1484375,23,0.08984375,81,0.31640625,84,0.328125,,,,
389,1,389,256,0.1410161760286428,False,40,0.15625,53,0.20703125,16,0.0625,71,0.27734375,76,0.296875,,,,
390,1,390,256,0.12802215374540538,False,27,0.10546875,52,0.203125,34,0.1328125,75,0.29296875,68,0.265625,,,,
391,1,391,256,0.12428728288796265,False,27,0.10546875,59,0.23046875,13,0.05078125,77,0.30078125,80,0.3125,,,,
392,1,392,256,0.1213424994784873,False,36,0.140625,61,0.23828125,19,0.07421875,71,0.27734375,69,0.26953125,,,,
393,1,393,256,0.1440765527650001,False,28,0.109375,53,0.20703125,20,0.078125,80,0.3125,75,0.29296875,,,,
394,1,394,256,0.1376648720470257,False,31,0.12109375,49,0.19140625,13,0.05078125,75,0.29296875,88,0.34375,,,,
395,1,395,256,0.124037048779428,False,36,0.140625,48,0.1875,20,0.078125,75,0.29296875,77,0.30078125,,,,
396,1,396,256,0.12330636661499739,False,24,0.09375,43,0.16796875,27,0.10546875,85,0.33203125,77,0.30078125,,,,
397,1,397,256,0.14229900116333738,False,30,0.1171875,47,0.18359375,20,0.078125,67,0.26171875,92,0.359375,,,,
398,1,398,256,0.1418491780059412,False,39,0.15234375,50,0.1953125,16,0.0625,72,0.28125,79,0.30859375,,,,
399,1,399,256,0.1384812651667744,False,39,0.15234375,43,0.16796875,21,0.08203125,69,0.26953125,84,0.328125,,,,
400,1,400,256,0.15170207708433736,False,29,0.11328125,39,0.15234375,23,0.08984375,85,0.33203125,80,0.3125,,,,
401,1,401,256,0.13093165849568322,False,24,0.09375,60,0.234375,23,0.08984375,74,0.2890625,75,0.29296875,,,,
402,1,402,256,0.1347502408316359,False,29,0.11328125,56,0.21875,21,0.08203125,65,0.25390625,85,0.33203125,,,,
403,1,403,256,0.13881254714215174,False,34,0.1328125,49,0.19140625,18,0.0703125,83,0.32421875,72,0.28125,,,,
404,1,404,256,0.14140609455444064,False,26,0.1015625,52,0.203125,16,0.0625,82,0.3203125,80,0.3125,,,,
405,1,405,256,0.12723823873966467,False,32,0.125,50,0.1953125,19,0.07421875,65,0.25390625,90,0.3515625,,,,
406,1,406,256,0.14041722237016074,False,25,0.09765625,43,0.16796875,11,0.04296875,90,0.3515625,87,0.33984375,,,,
407,1,407,256,0.13333456669352017,False,28,0.109375,46,0.1796875,20,0.078125,89,0.34765625,73,0.28515625,,,,
408,1,408,256,0.13507323391968384,False,28,0.109375,61,0.23828125,21,0.08203125,78,0.3046875,68,0.265625,,,,
409,1,409,256,0.134610495850211,False,21,0.08203125,57,0.22265625,18,0.0703125,75,0.29296875,85,0.33203125,,,,
410,1,410,256,0.12289381379378028,False,32,0.125,50,0.1953125,19,0.07421875,64,0.25,91,0.35546875,,,,
411,1,411,256,0.13980783318402246,False,24,0.09375,50,0.1953125,12,0.046875,83,0.32421875,87,0.33984375,,,,
412,1,412,256,0.12048900540685281,False,21,0.08203125,49,0.19140625,20,0.078125,75,0.29296875,91,0.35546875,,,,
413,1,413,256,0.14402646987582557,False,18,0.0703125,43,0.16796875,17,0.06640625,91,0.35546875,87,0.33984375,,,,
414,1,414,256,0.14091403360362165,False,34,0.1328125,52,0.203125,15,0.05859375,83,0.32421875,72,0.28125,,,,
415,1,415,256,0.13209302291215863,False,27,0.10546875,48,0.1875,21,0.08203125,82,0.3203125,78,0.3046875,,,,
416,1,416,256,0.15034870413364843,False,35,0.13671875,45,0.17578125,21,0.08203125,79,0.30859375,76,0.296875,,,,
417,1,417,256,0.13439282891340554,False,35,0.13671875,45,0.17578125,15,0.05859375,72,0.28125,89,0.34765625,,,,
418,1,418,256,0.13757209124742076,False,19,0.07421875,52,0.203125,17,0.06640625,86,0.3359375,82,0.3203125,,,,
419,1,419,256,0.13364463479956612,False,31,0.12109375,51,0.19921875,18,0.0703125,76,0.296875,80,0.3125,,,,
420,1,420,256,0.1256738045194652,False,26,0.1015625,66,0.2578125,22,0.0859375,65,0.25390625,77,0.30078125,,,,
421,1,421,256,0.12836440754472278,False,30,0.1171875,51,0.19921875,21,0.08203125,79,0.30859375,75,0.29296875,,,,
422,1,422,256,0.1447869362164056,False,35,0.13671875,46,0.1796875,15,0.05859375,74,0.2890625,86,0.3359375,,,,
423,1,423,256,0.12412065379612613,False,29,0.11328125,57,0.22265625,15,0.05859375,82,0.3203125,73,0.28515625,,,,
424,1,424,256,0.13289503138366854,False,28,0.109375,45,0.17578125,18,0.0703125,86,0.3359375,79,0.30859375,,,,
425,1,425,256,0.13753605177043937,False,26,0.1015625,45,0.17578125,18,0.0703125,80,0.3125,87,0.33984375,,,,
426,1,426,256,0.12493737222393975,False,30,0.1171875,59,0.23046875,17,0.06640625,67,0.26171875,83,0.32421875,,,,
427,1,427,256,0.11573618426336907,False,34,0.1328125,58,0.2265625,15,0.05859375,65,0.25390625,84,0.328125,,,,
428,1,428,256,0.14202512671181466,False,31,0.12109375,48,0.1875,16,0.0625,81,0.31640625,80,0.3125,,,,
429,1,429,256,0.13562862886465155,False,20,0.078125,47,0.18359375,14,0.0546875,87,0.33984375,88,0.34375,,,,
430,1,430,256,0.12598457181593403,False,25,0.09765625,50,0.1953125,27,0.10546875,77,0.30078125,77,0.30078125,,,,
431,1,431,256,0.14237000950379297,False,29,0.11328125,42,0.1640625,18,0.0703125,71,0.27734375,96,0.375,,,,
432,1,432,256,0.13155680429190397,False,30,0.1171875,49,0.19140625,24,0.09375,80,0.3125,73,0.28515625,,,,
